cuisine,id
italian,18009
italian,28583
greek,41580
cajun_creole,29752
greek,35687
italian,38527
greek,19666
chinese,41217
mexican,28753
greek,22659
italian,21749
italian,44967
indian,42969
italian,44883
greek,20827
italian,23196
greek,35387
greek,33780
greek,19001
southern_us,16526
japanese,42455
greek,47453
greek,42478
greek,11885
italian,16585
greek,29639
vietnamese,26245
chinese,38516
italian,47520
greek,26212
mexican,23696
chinese,14926
greek,13292
japanese,27346
chinese,1384
mexican,15959
russian,42297
indian,46235
indian,21181
cajun_creole,9809
cajun_creole,22982
chinese,23120
italian,26743
mexican,12741
greek,7050
italian,22437
italian,14760
greek,10649
vietnamese,48065
korean,39931
greek,32935
thai,40142
greek,19103
greek,38267
italian,30512
chinese,3324
greek,26197
japanese,384
chinese,47230
italian,39748
italian,41038
mexican,24878
italian,42624
korean,45706
mexican,8874
greek,23878
greek,47234
thai,24075
italian,46323
italian,22562
french,11358
indian,9201
greek,38620
greek,47638
indian,21238
japanese,11053
indian,46602
mexican,13937
southern_us,21876
chinese,20798
chinese,24381
greek,48178
italian,45832
korean,27560
greek,23247
italian,28975
greek,43230
italian,9126
cajun_creole,13021
chinese,28194
indian,25617
italian,36125
mexican,16454
chinese,1607
greek,38526
greek,18755
greek,12035
greek,16047
italian,15419
indian,16971
italian,31459
greek,27888
italian,13900
greek,12376
greek,1658
mexican,29431
italian,22290
italian,28464
korean,37953
greek,20814
mexican,35987
italian,2329
greek,43237
greek,30647
mexican,16675
mexican,37722
chinese,32438
greek,20287
indian,43296
greek,6237
japanese,48560
mexican,20810
greek,34951
greek,31850
italian,47745
mexican,37815
italian,9872
italian,5592
thai,27411
greek,39320
greek,40247
mexican,19792
greek,40754
mexican,14365
greek,14468
mexican,47563
italian,19611
mexican,7163
greek,43069
chinese,27505
greek,36500
southern_us,25932
greek,817
british,8471
southern_us,48250
italian,9413
cajun_creole,12097
greek,8416
italian,5892
greek,676
chinese,47015
greek,21891
italian,14630
korean,36195
mexican,25981
french,39964
indian,28298
spanish,31954
mexican,26620
southern_us,14932
greek,47426
italian,1038
russian,8077
southern_us,37141
greek,45447
mexican,9624
greek,45589
greek,7265
greek,31844
greek,13046
southern_us,9867
greek,29184
greek,34783
vietnamese,2823
mexican,18932
mexican,11112
thai,12859
italian,9365
greek,44516
greek,18193
italian,46545
italian,9900
mexican,14815
italian,39690
southern_us,22193
greek,11739
chinese,27311
indian,36920
greek,7861
greek,29248
mexican,43142
greek,7574
mexican,8610
italian,989
mexican,46926
mexican,40816
chinese,39726
southern_us,42229
italian,10474
mexican,22140
indian,31985
japanese,46165
italian,20860
italian,42494
greek,15968
thai,20484
brazilian,26661
mexican,47182
british,22528
greek,3861
french,1203
italian,45040
indian,33287
greek,10097
greek,42005
greek,12423
greek,39613
greek,30276
greek,18686
southern_us,3031
greek,40093
greek,182
mexican,46591
chinese,4092
southern_us,13722
italian,44575
italian,14989
greek,13270
italian,25529
indian,12140
mexican,23127
italian,13523
greek,41270
greek,8362
greek,11735
italian,27935
mexican,28198
indian,37765
greek,33856
french,30198
greek,42521
greek,21567
greek,36995
thai,24967
greek,45002
greek,48925
greek,36914
southern_us,2280
cajun_creole,14729
italian,4594
greek,2237
moroccan,45631
italian,2317
greek,23079
greek,29333
greek,48066
greek,15737
jamaican,30580
greek,1119
indian,46336
spanish,5026
greek,10749
mexican,31020
greek,30805
italian,27653
greek,35060
greek,39174
greek,49509
greek,31784
greek,31408
greek,36029
italian,11045
southern_us,6561
greek,26992
southern_us,31179
mexican,35099
korean,11018
mexican,17930
greek,21302
chinese,46352
mexican,25132
cajun_creole,7010
italian,25850
mexican,19601
italian,7935
greek,34994
italian,25113
italian,45523
filipino,34977
italian,7124
greek,27514
mexican,27178
korean,47880
italian,29197
greek,16347
greek,20333
chinese,29112
greek,7510
mexican,13897
moroccan,35699
mexican,20520
mexican,38920
indian,21775
japanese,37475
italian,40131
mexican,1939
greek,48268
greek,34815
italian,13797
chinese,39063
chinese,29064
greek,26896
italian,29477
greek,3352
mexican,4966
greek,7316
mexican,23879
mexican,16525
greek,32843
chinese,39574
mexican,32737
filipino,44788
italian,28772
mexican,34189
cajun_creole,33719
indian,25846
indian,1423
greek,4328
italian,579
indian,5219
cajun_creole,2314
greek,31143
mexican,13409
greek,3281
thai,15804
mexican,40835
korean,39262
greek,37013
jamaican,14807
moroccan,47956
mexican,2580
italian,13720
japanese,23008
greek,5951
mexican,39312
southern_us,6176
chinese,17617
mexican,57
greek,43422
greek,49403
greek,44751
mexican,21865
greek,26584
greek,39355
italian,14038
greek,45396
mexican,49715
thai,41515
italian,30445
mexican,4090
thai,17207
greek,40376
italian,19398
vietnamese,22347
mexican,49671
greek,40854
chinese,926
mexican,47919
italian,20571
greek,18866
mexican,48742
greek,14577
italian,29481
italian,40996
greek,34470
mexican,31147
italian,35932
greek,27221
italian,48301
greek,29925
thai,48640
greek,22873
greek,10565
greek,15509
greek,37569
chinese,13306
italian,40474
greek,15182
chinese,8609
greek,32168
mexican,1125
italian,25244
chinese,46889
vietnamese,13841
moroccan,47135
indian,29036
chinese,43533
italian,41631
cajun_creole,22124
cajun_creole,18836
french,35695
indian,5141
moroccan,41894
italian,4972
thai,34195
southern_us,14183
jamaican,15188
french,8734
cajun_creole,30946
cajun_creole,5588
southern_us,49554
indian,1270
vietnamese,1259
greek,45986
british,22351
mexican,300
southern_us,9278
indian,10021
greek,17014
italian,40855
greek,18362
chinese,16292
italian,29924
greek,47174
italian,4856
greek,15417
italian,19875
indian,42228
mexican,36264
greek,14571
greek,23496
mexican,43879
indian,23431
italian,5499
greek,247
indian,48795
italian,47113
mexican,489
japanese,13036
greek,4838
indian,40630
greek,17576
indian,29972
indian,8123
mexican,35918
italian,42669
greek,24632
mexican,35740
greek,45670
filipino,28041
korean,46688
thai,10309
southern_us,15367
southern_us,30562
greek,47151
thai,47300
mexican,31200
greek,5749
greek,41807
